iter	Passed	Remaining
380	312	506
381	312	506
382	313	505
383	314	503
384	314	502
385	315	501
386	315	500
387	316	499
388	316	497
389	317	496
390	317	495
391	318	493
392	318	492
393	319	491
394	319	490
395	320	488
396	321	487
397	321	486
398	322	485
399	322	484
400	323	483
401	325	484
402	326	483
403	327	483
404	328	482
405	328	480
406	329	479
407	330	479
408	330	477
409	331	476
410	331	475
411	332	474
412	332	472
413	333	471
414	333	470
415	334	469
416	334	467
417	335	467
418	336	466
419	336	465
420	337	463
421	337	462
422	338	461
423	341	463
424	342	463
425	343	462
426	343	461
427	344	460
428	344	459
429	345	458
430	346	456
431	346	455
432	347	454
433	347	453
434	348	452
435	348	451
436	349	450
437	350	449
438	350	448
439	351	447
440	351	445
441	352	444
442	352	443
443	353	442
444	356	444
445	357	443
446	358	443
447	358	442
448	359	440
449	359	439
450	360	438
451	361	437
452	361	436
453	362	435
454	362	434
455	363	433
456	363	432
457	364	431
458	364	429
459	365	428
460	365	427
461	366	426
462	366	425
463	367	424
464	367	423
465	368	422
466	368	420
467	370	421
468	373	422
469	373	421
470	374	420
471	374	419
472	375	418
473	375	416
474	376	415
475	376	414
476	377	413
477	377	412
478	378	411
479	378	410
480	379	409
481	380	408
482	381	407
483	381	406
484	382	405
485	382	404
486	383	403
487	383	402
488	384	401
489	388	404
490	388	403
491	389	402
492	390	401
493	391	400
494	392	399
495	392	398
496	393	398
497	394	397
498	394	396
499	394	394
500	395	393
501	396	393
502	397	392
503	397	391
504	398	390
505	398	389
506	399	388
507	400	387
508	400	386
509	401	385
510	402	385
511	403	384
512	404	383
513	405	383
514	405	382
515	406	381
516	407	380
517	407	379
518	408	378
519	408	377
520	409	376
521	410	376
522	411	374
523	411	374
524	412	373
525	412	372
526	414	372
527	415	371
528	415	370
529	416	369
530	417	368
531	418	367
532	418	366
533	419	365
534	419	364
535	420	364
536	421	363
537	422	362
538	422	361
539	423	360
540	423	359
541	423	358
542	424	357
543	425	356
544	425	355
545	426	354
546	427	353
547	427	352
548	428	352
549	429	351
550	430	350
551	430	349
552	431	348
553	432	348
554	433	347
555	433	346
556	434	345
557	434	344
558	435	343
559	436	342
560	436	341
561	437	340
562	437	339
563	438	338
564	439	338
565	440	337
566	440	336
567	441	335
568	441	334
569	442	333
570	445	334
571	446	333
572	446	333
573	447	332
574	447	331
575	448	330
576	449	329
577	449	328
578	449	327
579	450	326
580	451	325
581	452	324
582	453	324
583	454	323
584	455	322
585	455	321
586	456	320
587	456	319
588	457	319
589	457	318
590	459	317
591	461	317
592	461	316
593	462	315
594	462	314
595	463	313
596	463	312
597	464	311
598	464	311
599	465	310
600	465	309
601	466	308
602	466	307
603	467	306
604	467	305
605	467	304
606	468	303
607	468	302
608	469	301
609	469	300
610	470	299
611	470	298
612	471	297
613	471	296
614	472	295
615	473	295
616	474	294
617	475	294
618	476	293
619	476	292
620	477	291
621	477	290
622	478	289
623	479	289
624	480	288
625	480	287
626	481	286
627	481	285
628	482	284
629	482	283
630	483	282
631	483	281
632	484	280
633	484	279
634	485	278
635	485	278
636	486	277
637	486	276
638	487	275
639	489	275
640	491	275
641	491	274
642	492	273
643	492	272
644	493	271
645	494	270
646	494	269
647	495	269
648	495	268
649	496	267
650	496	266
651	497	265
652	497	264
653	498	263
654	498	262
655	499	261
656	499	260
657	500	260
658	500	259
659	501	258
660	501	257
661	502	256
662	503	255
663	504	255
664	505	254
665	505	253
666	506	252
667	507	251
668	507	251
669	508	250
670	508	249
671	509	248
672	509	247
673	510	246
674	510	245
675	511	244
676	511	244
677	512	243
678	512	242
679	512	241
680	513	240
681	513	239
682	514	238
683	514	237
684	514	236
685	515	235
686	515	235
687	516	234
688	516	233
689	517	232
690	518	231
691	519	231
692	519	230
693	520	229
694	520	228
695	521	227
696	521	226
697	522	225
698	522	225
699	523	224
700	523	223
701	524	222
702	524	221
703	526	221
704	526	220
705	527	219
706	527	218
707	528	217
708	528	217
709	529	216
710	529	215
711	530	214
712	531	213
713	531	212
714	532	212
715	532	211
716	533	210
717	534	209
718	535	209
719	535	208
720	536	207
721	536	206
722	538	206
723	539	205
724	540	205
725	541	204
726	541	203
727	542	202
728	542	201
729	543	200
730	543	200
731	544	199
732	546	198
733	546	198
734	547	197
735	547	196
736	548	195
737	549	195
738	549	194
739	550	193
740	551	192
741	551	191
742	552	191
743	553	190
744	553	189
745	554	188
746	554	187
747	555	186
748	555	186
749	555	185
750	556	184
751	565	186
752	565	185
753	566	184
754	566	183
755	567	183
756	567	182
757	568	181
758	568	180
759	569	179
760	569	178
761	570	178
762	571	177
763	583	180
764	584	179
765	584	178
766	585	177
767	585	176
768	586	176
769	586	175
770	587	174
771	587	173
772	588	172
773	599	175
774	600	174
775	600	173
776	601	172
777	603	172
778	603	171
779	604	170
780	604	169
781	605	168
782	605	167
783	606	167
784	606	166
785	607	165
786	607	164
787	608	163
788	608	162
789	609	161
790	620	163
791	622	163
792	622	162
793	623	161
794	624	160
795	625	160
796	625	159
797	637	161
798	638	160
799	639	159
800	639	158
801	640	158
802	640	157
803	641	156
804	641	155
805	652	157
806	653	156
807	653	155
808	654	154
809	655	153
810	655	152
811	656	151
812	657	151
813	657	150
814	658	149
815	659	148
816	659	147
817	660	146
818	664	146
819	664	145
820	665	145
821	666	144
822	666	143
823	667	142
824	667	141
825	668	140
826	668	139
827	669	139
828	670	138
829	670	137
830	671	136
831	671	135
832	672	134
833	673	133
834	674	133
835	675	132
836	676	131
837	677	131
838	678	130
839	679	129
840	680	128
841	681	127
842	681	126
843	682	126
844	683	125
845	683	124
846	684	123
847	684	122
848	685	121
849	685	120
850	686	120
851	687	119
852	688	118
853	689	117
854	690	117
855	690	116
856	692	115
857	692	114
858	693	113
859	693	112
860	694	112
861	695	111
862	697	110
863	697	109
864	698	108
865	699	108
866	701	107
867	702	106
868	705	106
869	706	105
870	707	104
871	708	103
872	708	103
873	709	102
874	709	101
875	710	100
876	711	99
877	711	98
878	712	98
879	712	97
880	713	96
881	713	95
882	714	94
883	715	93
884	715	92
885	716	92
886	716	91
887	721	91
888	722	90
889	723	89
890	723	88
891	724	87
892	725	86
893	725	86
894	726	85
895	726	84
896	727	83
897	727	82
898	728	81
899	740	82
900	741	81
901	741	80
902	742	79
903	743	78
904	743	78
905	744	77
906	744	76
907	745	75
908	746	74
909	746	73
910	747	72
911	747	72
912	748	71
913	748	70
914	751	69
915	752	69
916	753	68
917	753	67
918	754	66
919	756	65
920	756	64
921	757	64
922	758	63
923	759	62
924	759	61
925	760	60
926	760	59
927	761	59
928	762	58
929	762	57
930	763	56
931	764	55
932	768	55
933	768	54
934	769	53
935	770	52
936	770	51
937	771	50
938	771	50
939	772	49
940	773	48
941	774	47
942	775	46
943	775	46
944	776	45
945	777	44
946	777	43
947	778	42
948	778	41
949	779	41
950	780	40
951	782	39
952	783	38
953	783	37
954	784	36
955	784	36
956	785	35
957	785	34
958	786	33
959	787	32
960	787	31
961	788	31
962	788	30
963	789	29
964	789	28
965	790	27
966	790	26
967	791	26
968	792	25
969	792	24
970	793	23
971	794	22
972	794	22
973	796	21
974	796	20
975	797	19
976	797	18
977	798	17
978	798	17
979	799	16
980	800	15
981	800	14
982	801	13
983	802	13
984	802	12
985	803	11
986	804	10
987	804	9
988	805	8
989	806	8
990	806	7
991	807	6
992	808	5
993	808	4
994	809	4
995	810	3
996	810	2
997	811	1
998	812	0
999	812	0
