,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,position
20,20,20,0,0,0,0,0.0,634,252,0,0,0.0,0.0,2023-03-04T15:00:00Z,0,2,0,0,0,0,26,0,11054,0,1,0.0,0,-359,0,359,45,False,0,0.0,0.0,0.0,0.0,0.0,4
21,21,21,0,0,0,0,0.0,634,262,0,0,0.0,0.0,2023-03-11T17:30:00Z,0,13,0,0,0,0,27,0,10758,1,0,0.0,0,-300,0,300,45,True,0,0.0,0.0,0.0,0.0,0.0,4
22,22,22,0,0,0,0,0.0,634,73,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,5,0,0,0,0,27,0,10758,0,1,0.0,0,-300,0,300,45,False,0,0.0,0.0,0.0,0.0,0.0,4
23,23,23,0,0,0,0,0.0,634,271,0,0,0.0,0.0,2023-03-19T14:00:00Z,0,1,0,0,0,0,28,0,10518,1,4,0.0,0,-224,0,224,45,False,0,0.0,0.0,0.0,0.0,0.0,4
24,24,24,0,0,0,0,0.0,634,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,10,0,0,0,0,29,0,10326,1,2,0.0,0,-208,0,208,45,True,0,0.0,0.0,0.0,0.0,0.0,4
25,25,25,0,0,0,0,0.0,634,294,0,0,0.0,0.0,2023-04-09T13:00:00Z,0,11,0,0,0,0,30,0,10209,5,1,0.0,0,-128,0,128,45,False,0,0.0,0.0,0.0,0.0,0.0,4
26,26,26,0,0,0,0,0.0,634,307,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,17,0,0,0,0,31,0,10064,2,0,0.0,0,-144,0,144,45,False,0,0.0,0.0,0.0,0.0,0.0,4
27,27,27,0,0,0,0,0.0,634,315,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,8,0,0,0,0,32,0,9958,0,0,0.0,0,-103,0,103,45,True,0,0.0,0.0,0.0,0.0,0.0,4
28,28,28,0,0,0,0,0.0,634,327,0,0,0.0,0.0,2023-04-25T18:30:00Z,0,20,0,0,0,0,33,0,9899,0,2,0.0,0,-65,0,65,45,False,0,0.0,0.0,0.0,0.0,0.0,4
29,29,29,0,0,0,0,0.0,634,335,0,0,0.0,0.0,2023-04-29T11:30:00Z,0,19,0,0,0,0,34,0,9829,3,4,0.0,0,-71,0,71,45,True,0,0.0,0.0,0.0,0.0,0.0,4
30,30,30,0,0,0,0,0.0,634,348,0,0,0.0,0.0,2023-05-06T14:00:00Z,0,18,0,0,0,0,35,0,9739,0,1,0.0,0,-89,0,89,45,False,0,0.0,0.0,0.0,0.0,0.0,4
31,31,31,0,0,0,0,0.0,634,355,0,0,0.0,0.0,2023-05-13T14:00:00Z,0,3,0,0,0,0,36,0,9684,0,2,0.0,0,-54,0,54,45,True,0,0.0,0.0,0.0,0.0,0.0,4
32,32,32,0,0,0,0,0.0,634,363,0,0,0.0,0.0,2023-05-20T14:00:00Z,0,9,0,0,0,0,37,0,9625,2,2,0.0,0,-58,0,58,45,False,0,0.0,0.0,0.0,0.0,0.0,4
33,33,33,0,0,0,0,0.0,634,375,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,16,0,0,0,0,38,0,9580,1,1,0.0,0,-46,0,46,45,True,0,0.0,0.0,0.0,0.0,0.0,4
34,34,34,0,0,0,0,0.0,658,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,45,False,0,0.0,0.0,0.0,0.0,0.0,4
35,35,35,0,0,0,0,0.0,658,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,1,0,0,0,0,2,0,6724,1,0,0.0,0,2562,3054,492,45,True,0,0.0,0.0,0.0,0.0,0.0,4
36,36,36,0,0,0,0,0.0,658,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,4,0,0,0,0,3,0,9184,1,1,0.0,0,1020,2456,1436,45,False,0,0.0,0.0,0.0,0.0,0.0,4
37,37,37,0,0,0,0,0.0,658,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,9958,2,3,0.0,0,-154,1535,1689,45,True,0,0.0,0.0,0.0,0.0,0.0,4
38,38,38,0,0,0,0,0.0,658,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,2,0,0,0,0,5,0,7160,1,3,0.0,0,-2718,0,2718,45,False,0,0.0,0.0,0.0,0.0,0.0,4
39,39,39,0,0,0,0,0.0,658,56,0,0,0.0,0.0,2023-09-23T14:00:00Z,0,10,0,0,0,0,6,0,6498,0,0,0.0,0,-757,0,757,45,True,0,0.0,0.0,0.0,0.0,0.0,4
40,40,40,0,0,0,0,0.0,658,65,0,0,0.0,0.0,2023-09-30T14:00:00Z,0,14,0,0,0,0,7,0,5939,1,0,0.0,0,-563,0,563,45,False,0,0.0,0.0,0.0,0.0,0.0,4
41,41,41,0,0,0,0,0.0,658,74,0,0,0.0,0.0,2023-10-07T16:30:00Z,0,16,0,0,0,0,8,0,5582,0,0,0.0,0,-363,0,363,45,True,0,0.0,0.0,0.0,0.0,0.0,4
42,42,42,0,0,0,0,0.0,658,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,5360,0,4,0.0,0,-232,0,232,45,False,0,0.0,0.0,0.0,0.0,0.0,4
43,43,43,0,0,0,0,0.0,658,96,0,0,0.0,0.0,2023-10-27T19:00:00Z,0,18,0,0,0,0,10,0,5198,2,1,0.0,0,-177,0,177,45,True,0,0.0,0.0,0.0,0.0,0.0,4
44,44,44,0,0,0,0,0.0,658,102,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,6,0,0,0,0,11,0,5009,2,0,0.0,0,-188,0,188,45,False,0,0.0,0.0,0.0,0.0,0.0,4
45,45,45,0,0,0,0,0.0,658,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,4874,3,2,0.0,0,-136,0,136,45,True,0,0.0,0.0,0.0,0.0,0.0,4
46,46,46,0,0,0,0,0.0,658,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,12,0,0,0,0,13,0,4754,1,2,0.0,0,-123,0,123,45,False,0,0.0,0.0,0.0,0.0,0.0,4
47,47,47,0,0,0,0,0.0,658,140,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,19,0,0,0,0,14,0,4684,1,1,0.0,0,-73,0,73,45,False,0,0.0,0.0,0.0,0.0,0.0,4
48,48,48,0,0,0,0,0.0,658,143,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,3,0,0,0,0,15,0,4639,2,0,0.0,0,-45,0,45,45,True,0,0.0,0.0,0.0,0.0,0.0,4
49,49,49,0,0,0,0,0.0,658,153,0,0,0.0,0.0,2023-12-09T12:30:00Z,0,11,0,0,0,0,16,0,4584,2,1,0.0,0,-56,0,56,45,True,0,0.0,0.0,0.0,0.0,0.0,4
50,50,50,0,0,0,0,0.0,658,167,0,0,0.0,0.0,2023-12-16T15:00:00Z,0,13,0,0,0,0,17,0,4512,2,2,0.0,0,-71,0,71,45,False,0,0.0,0.0,0.0,0.0,0.0,4
51,51,51,0,0,0,0,0.0,658,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,5,0,0,0,0,18,0,4460,1,1,0.0,0,-50,0,50,45,True,0,0.0,0.0,0.0,0.0,0.0,4
52,52,52,0,0,0,0,0.0,658,186,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,7,0,0,0,0,19,0,4429,1,2,0.0,0,-35,0,35,45,False,0,0.0,0.0,0.0,0.0,0.0,4
53,53,53,0,0,14,0,38.4,309,194,1,0,6.3,15.2,2024-01-01T20:00:00Z,63,15,0,0,0,0,20,0,583686,2,4,9.0,2,-44520,9308,53828,71,True,0,0.34,0.49,0.15,0.32,1.0,4
54,54,54,0,0,0,0,0.7,309,185,0,0,0.2,0.0,2023-12-26T17:30:00Z,23,6,0,0,0,0,19,0,627772,2,0,3.0,1,180,26285,26105,71,False,0,0.0,0.01,0.01,0.32,0.0,4
55,55,55,0,0,15,0,2.8,309,174,1,0,2.5,16.0,2023-12-23T17:30:00Z,90,1,0,0,0,0,18,0,621032,1,1,6.0,2,-32389,7512,39901,71,True,0,0.08,0.15,0.07,0.8,1.0,4
56,56,56,0,0,8,1,2.3,309,166,0,0,1.0,5.0,2023-12-17T16:30:00Z,61,14,0,0,0,0,17,0,652986,0,0,3.0,3,-22548,24116,46664,71,True,0,0.03,0.05,0.02,0.27,1.0,4
57,57,57,0,0,7,0,5.2,309,153,1,0,1.4,3.0,2023-12-09T12:30:00Z,73,8,0,0,0,0,16,0,676508,2,1,6.0,2,27873,47844,19971,71,False,0,0.03,0.15,0.12,1.4,1.0,4
58,58,58,0,1,32,1,26.7,309,147,0,1,10.0,50.6,2023-12-06T19:30:00Z,90,17,0,0,0,0,15,0,644729,2,0,23.0,9,-23441,17585,41026,71,False,0,0.13,0.6,0.47,0.66,1.0,4
59,59,59,0,0,10,0,15.6,309,136,2,0,4.0,9.2,2023-12-03T14:00:00Z,64,10,0,0,0,0,14,0,666967,3,4,15.0,2,2991,43892,40901,71,True,0,0.04,0.14,0.1,1.0,1.0,4
60,60,60,0,0,7,0,17.9,309,126,1,0,2.9,2.0,2023-11-25T12:30:00Z,72,13,0,0,0,0,13,0,658230,1,1,9.0,2,-11252,41159,52411,71,False,0,0.42,0.45,0.03,0.71,1.0,4
61,61,61,0,0,9,1,25.3,309,117,0,0,4.0,6.2,2023-11-12T14:00:00Z,90,4,0,0,0,0,12,0,667039,0,3,8.0,3,-6316,40054,46370,71,True,0,0.04,0.11,0.07,1.56,1.0,4
